nm_id,name,brand,price,old_price,rating,feedbacks,url,category
67262059,/ Наклейки детские,Буква-Ленд,97,97,"4,9",7 049 оценок,https://www.wildberries.ru/catalog/67262059/detail.aspx,Books
250161577,"/ Книга на Английском 101 эссе, которые изменят ваше мышление",DreamBooks,451,451,"4,8",109 оценок,https://www.wildberries.ru/catalog/250161577/detail.aspx,Books
90964409,/ Али и Нино,Азбука,185,185,"4,9",1 371 оценка,https://www.wildberries.ru/catalog/90964409/detail.aspx,Books
147314783,/ Первые знания. Фотокнига. Первые слова Книги для малышей,Издательство CLEVER,112,112,"4,9",1 018 оценок,https://www.wildberries.ru/catalog/147314783/detail.aspx,Books
478388059,/ Самый богатый человек в Вавилоне,Эксмо,246,246,5,35 оценок,https://www.wildberries.ru/catalog/478388059/detail.aspx,Books
371765398,/ Мастер и Маргарита. М А Булгаков. Классика. Роман,Издательство Махаон,339,339,"4,9",487 оценок,https://www.wildberries.ru/catalog/371765398/detail.aspx,Books
253906197,/ Пом Ю Джин. Ресторан 06 06 06. Корейская проза. Хилинг-роман,O2 Young adult книги,614,614,"4,9",1 071 оценка,https://www.wildberries.ru/catalog/253906197/detail.aspx,Books
161301013,,"Издательство Манн, Иванов и Фербер",306,306,"4,9",1 477 оценок,https://www.wildberries.ru/catalog/161301013/detail.aspx,Books
272610453,/ Пока не закончатся звезды,Альпина. Книги,490,490,"4,8",455 оценок,https://www.wildberries.ru/catalog/272610453/detail.aspx,Books
142745304,/ Как ты умрешь,Эксмо,373,373,"4,9",826 оценок,https://www.wildberries.ru/catalog/142745304/detail.aspx,Books
268429077,/ Новогодняя книга кроличьих историй. Сказки для детей 3-5 лет,Издательство Махаон,549,549,5,87 оценок,https://www.wildberries.ru/catalog/268429077/detail.aspx,Books
228693008,/ Книга на Английском Психология денег The Psychology of Money,DreamBooks,451,451,"4,8",40 оценок,https://www.wildberries.ru/catalog/228693008/detail.aspx,Books
99001143,/ Очень краткая история жизни на Земле. 4,Издательство КоЛибри,584,584,5,126 оценок,https://www.wildberries.ru/catalog/99001143/detail.aspx,Books
221531704,/ Книги для детей Кроссворды,Буква-Ленд,191,191,5,146 оценок,https://www.wildberries.ru/catalog/221531704/detail.aspx,Books
162473717,/ Холодное сердце Книги для школьников,Издательство Феникс,104,104,"4,9",237 оценок,https://www.wildberries.ru/catalog/162473717/detail.aspx,Books
12235614,/ Черный обелиск,Издательство АСТ,360,360,"4,9",756 оценок,https://www.wildberries.ru/catalog/12235614/detail.aspx?targetUrl=MI,Books
10733316,/ Дочь священника,Издательство АСТ,287,287,"4,9",1 492 оценки,https://www.wildberries.ru/catalog/10733316/detail.aspx?targetUrl=MI,Books
30378835,/ Железный король,Азбука,197,197,5,403 оценки,https://www.wildberries.ru/catalog/30378835/detail.aspx?targetUrl=MI,Books
2264305,/ Нортенгерское аббатство,Азбука,238,238,"4,9",1 707 оценок,https://www.wildberries.ru/catalog/2264305/detail.aspx?targetUrl=MI,Books
167739367,,,,,5,,https://www.wildberries.ru/catalog/167739367/detail.aspx?targetUrl=MI,Books
