nm_id,name,brand,price,old_price,rating,feedbacks,url,category
491410152,/ Ботинки подростковые утепленные с флисом на осень и зиму,FESS,1683,1683,"4,9",84 оценки,https://www.wildberries.ru/catalog/491410152/detail.aspx,Boots
171693351,/ Ботинки детские утепленные,Outventure,4849,4849,"4,9",912 оценок,https://www.wildberries.ru/catalog/171693351/detail.aspx,Boots
101373022,/ Утепленные ботинки для малышей,Eva R.,1769,1769,"4,8",1 547 оценок,https://www.wildberries.ru/catalog/101373022/detail.aspx,Boots
263838352,/ Ботинки зимние детские,Микаса,1479,1479,"4,7",357 оценок,https://www.wildberries.ru/catalog/263838352/detail.aspx,Boots
550328217,/ Ботинки зимние для мальчика,Munavar,2585,2585,"4,9",63 оценки,https://www.wildberries.ru/catalog/550328217/detail.aspx,Boots
102449908,/ Ботинки зимние натуральная кожа и мех,Bi Bari,5282,5282,"4,8",2 326 оценок,https://www.wildberries.ru/catalog/102449908/detail.aspx,Boots
257652367,/ Ботинки Зимние мембрана подросток,STARBERG,3402,3402,"4,8",848 оценок,https://www.wildberries.ru/catalog/257652367/detail.aspx,Boots
557197232,/ Ботинки зимние для девочки,Munavar,2307,2307,5,33 оценки,https://www.wildberries.ru/catalog/557197232/detail.aspx,Boots
431544551,/ Ботинки для подростков зимние,GILABUNNY,1506,1506,"4,8",95 оценок,https://www.wildberries.ru/catalog/431544551/detail.aspx,Boots
14190466,/ Ботинки рaбочие зимние с МП и МС иcкус. мeх,МИСТРАЛЬ.,1542,1542,"4,7",7 974 оценки,https://www.wildberries.ru/catalog/14190466/detail.aspx,Boots
237968392,/ Зимние водонепроницаемые ботинки,Lassie,4347,4347,"4,7",266 оценок,https://www.wildberries.ru/catalog/237968392/detail.aspx,Boots
431544561,/ Зимние ботинки для мальчиков,GILABUNNY,2233,2233,"4,9",203 оценки,https://www.wildberries.ru/catalog/431544561/detail.aspx,Boots
451652885,/ Ботинки зимние натуральный замша,GILABUNNY,2565,2565,5,177 оценок,https://www.wildberries.ru/catalog/451652885/detail.aspx,Boots
264710817,/ Ботинки детские утепленные Arctic Boot 3.0,Outventure,1744,1744,"4,8",38 оценок,https://www.wildberries.ru/catalog/264710817/detail.aspx,Boots
506312962,/ Ботинки зимние из мембранной ткани,PlayToday,2361,2361,"4,8",70 оценок,https://www.wildberries.ru/catalog/506312962/detail.aspx,Boots
145628524,/ Берцы ботинки кожаные,D Gracia,1917,1917,"4,7",457 оценок,https://www.wildberries.ru/catalog/145628524/detail.aspx?targetUrl=MI,Boots
178559137,/ Ботинки на платформе зимние,Recco,1758,1758,"4,6",963 оценки,https://www.wildberries.ru/catalog/178559137/detail.aspx?targetUrl=MI,Boots
163531585,/ Ботинки чулки демисезонные,KEDDO,2993,2993,"4,7",818 оценок,https://www.wildberries.ru/catalog/163531585/detail.aspx?targetUrl=MI,Boots
177669919,/ Ботинки кожаные натуральные берцы на шнуровке высокие зимние,She's only,2125,2125,"4,6",535 оценок,https://www.wildberries.ru/catalog/177669919/detail.aspx?targetUrl=MI,Boots
168341990,,Your Way,,,"4,5",,https://www.wildberries.ru/catalog/168341990/detail.aspx?targetUrl=MI,Boots
