nm_id,name,brand,price,old_price,rating,feedbacks,url,category
613357904,/ Наушники беспроводные A.Pods 4 без шумоподавления,TOFURA,558,558,"4,9",341 оценка,https://www.wildberries.ru/catalog/613357904/detail.aspx,Headphones
361917699,/ Наушники беспроводные игровые блютуз TWS N35 для андроид,TikChic,611,611,"4,7",2 214 оценок,https://www.wildberries.ru/catalog/361917699/detail.aspx,Headphones
582962183,/ Наушники беспроводные AIR P. PRO 2 для iPhone и Android,ETTA High Tech,1319,1319,"4,9",12 378 оценок,https://www.wildberries.ru/catalog/582962183/detail.aspx,Headphones
143211912,Наушники проводные с микрофоном вакуумные T110,Unknown,326,326,"4,5",7 673 оценки,https://www.wildberries.ru/catalog/143211912/detail.aspx,Headphones
173823377,Беспроводные наушники JBL Air-6,Unknown,752,752,"4,7",444 оценки,https://www.wildberries.ru/catalog/173823377/detail.aspx,Headphones
421551080,/ Наушники беспроводные для телефона с шумоподавлением,FaizFull,1021,1021,"4,9",6 599 оценок,https://www.wildberries.ru/catalog/421551080/detail.aspx,Headphones
177502400,/ Наушники беспроводные спортивные на шею с микрофоном,4Sound,609,609,"4,8",482 оценки,https://www.wildberries.ru/catalog/177502400/detail.aspx,Headphones
613357903,/ Наушники беспроводные A.Pods Pro 2 с шумоподавлением,TOFURA,720,720,"4,8",266 оценок,https://www.wildberries.ru/catalog/613357903/detail.aspx,Headphones
208488443,/ Наушники беспроводные Air 2 Black для iPhone и Android,ETTA High Tech,1170,1170,"4,9",12 378 оценок,https://www.wildberries.ru/catalog/208488443/detail.aspx,Headphones
291317419,/ Наушники беспроводные RGB подсветка,SAYFUN toys,685,685,"4,8",210 оценок,https://www.wildberries.ru/catalog/291317419/detail.aspx,Headphones
493741154,/ Наушники Galaxy Buds Core SM-R410NZKACIS черный,Samsung,2804,2804,"4,9",274 оценки,https://www.wildberries.ru/catalog/493741154/detail.aspx,Headphones
370890069,/ Наушники беспроводные для iphone Air 3,SmartSale,917,917,"4,7",24 749 оценок,https://www.wildberries.ru/catalog/370890069/detail.aspx,Headphones
208128422,/ Беспроводные спортивные наушники для телефона на шею,GiViL,891,891,"4,7",5 369 оценок,https://www.wildberries.ru/catalog/208128422/detail.aspx,Headphones
370802326,/ Наушники беспроводные вакуумные для андроид и iPhone блютуз,STIMAXON,686,686,"4,6",3 920 оценок,https://www.wildberries.ru/catalog/370802326/detail.aspx,Headphones
456062054,/ Беспроводные наушники большие Bluetooth,HOCO,879,879,"4,8",542 оценки,https://www.wildberries.ru/catalog/456062054/detail.aspx,Headphones
209928876,/ Наушники беспроводные APro 2 для iPhone Android,E-shop,1082,1082,"4,5",24 768 оценок,https://www.wildberries.ru/catalog/209928876/detail.aspx?targetUrl=MI,Headphones
181592486,/ Наушники беспроводные ИИ Bluetooth 5.3 игровые на шею,ЛАСКОВЫЙ ТИГРЁНОК,574,574,"4,6",1 044 оценки,https://www.wildberries.ru/catalog/181592486/detail.aspx?targetUrl=MI,Headphones
183550937,/ Беспроводные наушники EQ6,Hoco,1373,1373,"4,9",695 оценок,https://www.wildberries.ru/catalog/183550937/detail.aspx?targetUrl=MI,Headphones
168792950,/ Беспроводные наушники EQ2,HOCO,822,822,"4,8",1 926 оценок,https://www.wildberries.ru/catalog/168792950/detail.aspx?targetUrl=MI,Headphones
152457096,,AKAE,,,"4,9",,https://www.wildberries.ru/catalog/152457096/detail.aspx?targetUrl=MI,Headphones
