nm_id,name,brand,price,old_price,rating,feedbacks,url,category
265298052,/ Набор стеклянных салатников 3шт,Glass,677,677,"4,9",8 385 оценок,https://www.wildberries.ru/catalog/265298052/detail.aspx,Kitchenware
322412970,/ Набор стеклянных салатников 3шт,Glass,677,677,"4,8",1 193 оценки,https://www.wildberries.ru/catalog/322412970/detail.aspx,Kitchenware
242785616,/ Фруктовница,Home Comfort,415,415,"4,8",3 790 оценок,https://www.wildberries.ru/catalog/242785616/detail.aspx,Kitchenware
282486356,/ Набор стеклянных салатников 3шт,Glass,677,677,"4,9",1 907 оценок,https://www.wildberries.ru/catalog/282486356/detail.aspx,Kitchenware
333741623,"/ Кастрюля стеклянная 1,8 л",AZA Home,447,447,"4,8",613 оценок,https://www.wildberries.ru/catalog/333741623/detail.aspx,Kitchenware
61249346,/ Крышки на резинке полиэтиленовые шапочки для тарелок кухни,LejEro,250,250,"4,9",25 282 оценки,https://www.wildberries.ru/catalog/61249346/detail.aspx,Kitchenware
242785614,/ Фруктовница,Home Comfort,415,415,"4,8",4 273 оценки,https://www.wildberries.ru/catalog/242785614/detail.aspx,Kitchenware
79125432,/ ножницы кухонные универсальные для кухни курицы мяса рыбы,Sobre,611,611,"4,9",23 322 оценки,https://www.wildberries.ru/catalog/79125432/detail.aspx,Kitchenware
440293681,Набор разделочных досок,Unknown,510,510,"4,8",287 оценок,https://www.wildberries.ru/catalog/440293681/detail.aspx,Kitchenware
176035400,/ Точилка для ножей и ножниц,TOHOKO,393,393,"4,8",35 419 оценок,https://www.wildberries.ru/catalog/176035400/detail.aspx,Kitchenware
286523478,/ Салфетница на стол для кухни,Magistro,72,72,"4,9",59 оценок,https://www.wildberries.ru/catalog/286523478/detail.aspx,Kitchenware
196435707,/ Набор кастрюль со стеклянными крышками стальные 3 шт,AQRA,2070,2070,"4,8",2 846 оценок,https://www.wildberries.ru/catalog/196435707/detail.aspx,Kitchenware
129513198,/ Распылитель для масла растительного и уксуса стеклянный,HomeStoree,258,258,"4,4",14 529 оценок,https://www.wildberries.ru/catalog/129513198/detail.aspx,Kitchenware
496514192,Бумага для аэрогриля 100 шт,Unknown,323,323,"4,7",191 оценка,https://www.wildberries.ru/catalog/496514192/detail.aspx,Kitchenware
518852802,Спрей для масло,Unknown,105,105,"4,5",94 оценки,https://www.wildberries.ru/catalog/518852802/detail.aspx,Kitchenware
26722086,/ Антипригарная сковорода для блинов и оладий 3 секции,РИСОВАКИ,1059,1059,"4,7",1 979 оценок,https://www.wildberries.ru/catalog/26722086/detail.aspx?targetUrl=MI,Kitchenware
12030890,/ Контейнер для хранения стеклянный лимонница с крышкой 105 мм,Pasabahce,244,244,"4,9",30 694 оценки,https://www.wildberries.ru/catalog/12030890/detail.aspx?targetUrl=MI,Kitchenware
153084102,"/ Сковорода для завтрака, для оладий, для яичницы",CUKYR,927,927,"4,8",308 оценок,https://www.wildberries.ru/catalog/153084102/detail.aspx?targetUrl=MI,Kitchenware
168641792,Распылитель для масла дозатор спрей 2шт,Unknown,238,238,"4,5",8 271 оценка,https://www.wildberries.ru/catalog/168641792/detail.aspx?targetUrl=MI,Kitchenware
84080601,,Kroenburg,,,"3,9",,https://www.wildberries.ru/catalog/84080601/detail.aspx?targetUrl=MI,Kitchenware
