nm_id,name,brand,price,old_price,rating,feedbacks,url,category
457625501,/ Смартфон Galaxy S25 12+256 GB SM-S931BDBCCAU,Samsung,68154,68154,5,14 оценок,https://www.wildberries.ru/catalog/457625501/detail.aspx,Smartphones
502427480,/ Смартфон nova Y63 6ГБ+128ГБ Серебристый,Huawei,9013,9013,5,1 оценка,https://www.wildberries.ru/catalog/502427480/detail.aspx,Smartphones
574366453,/ SMART 9 4+128GB,Infinix,6005,6005,"4,9",282 оценки,https://www.wildberries.ru/catalog/574366453/detail.aspx,Smartphones
439376985,/ Смартфон C75 8+256 Чёрный,Realme,10175,10175,"4,8",270 оценок,https://www.wildberries.ru/catalog/439376985/detail.aspx,Smartphones
244595731,/ Смартфон Redmi A3x 3 64GB Aurora Green,Xiaomi,4318,4318,"4,8",697 оценок,https://www.wildberries.ru/catalog/244595731/detail.aspx,Smartphones
550380825,/ Смартфон Pura 80 Ultra 16 ГБ + 512 ГБ Золотой,Huawei,101336,101336,5,11 оценок,https://www.wildberries.ru/catalog/550380825/detail.aspx,Smartphones
574366459,/ SMART 9 4+128GB,Infinix,6005,6005,"4,9",282 оценки,https://www.wildberries.ru/catalog/574366459/detail.aspx,Smartphones
430847857,"/ Смартфон А5x 4 128 Ростест (EAC), сапфир",oppo,6041,6041,"4,8",1 809 оценок,https://www.wildberries.ru/catalog/430847857/detail.aspx,Smartphones
430847073,"/ Смартфон А5x 4 128 Ростест (EAC), перламутр",oppo,6042,6042,"4,9",1 195 оценок,https://www.wildberries.ru/catalog/430847073/detail.aspx,Smartphones
458601334,/ Смартфон Galaxy S25+ 12+512 GB SM-S936BZSCCAU,Samsung,81523,81523,5,3 оценки,https://www.wildberries.ru/catalog/458601334/detail.aspx,Smartphones
549365090,/ Смартфон Pura 80 12 Гб + 256 Гб Матовый черный,Huawei,47594,47594,5,6 оценок,https://www.wildberries.ru/catalog/549365090/detail.aspx,Smartphones
494949159,/ Смартфон Note 60X 3GB 64GB Black,Realme,4879,4879,"4,8",412 оценок,https://www.wildberries.ru/catalog/494949159/detail.aspx,Smartphones
449799886,/ Смартфон Note 60X 4GB 128GB Black,Realme,6096,6096,"4,9",437 оценок,https://www.wildberries.ru/catalog/449799886/detail.aspx,Smartphones
526082817,/ Смартфон Note 60X 3GB 64GB Green,Realme,7505,7505,"4,9",218 оценок,https://www.wildberries.ru/catalog/526082817/detail.aspx,Smartphones
462107404,/ Смартфон Galaxy Z Flip7 FE 5G 8+256 GB SM-F761BZWHCAU,Samsung,65366,65366,5,26 оценок,https://www.wildberries.ru/catalog/462107404/detail.aspx,Smartphones
169494580,Чехол на Spark 10 Pro,Unknown,281,281,"4,7",120 оценок,https://www.wildberries.ru/catalog/169494580/detail.aspx?targetUrl=MI,Smartphones
144501565,"/ Смартфон андроид с большим экраном A83 6 128Gb, черный",INOI,4726,4726,"4,6",484 оценки,https://www.wildberries.ru/catalog/144501565/detail.aspx?targetUrl=MI,Smartphones
164742814,/ Защитное стекло Inoi a62 lite иной а62 лайт,MSeven,232,232,"4,6",75 оценок,https://www.wildberries.ru/catalog/164742814/detail.aspx?targetUrl=MI,Smartphones
143329828,/ Чехол на A17K Оппо А17К,oppo,339,339,"4,9",303 оценки,https://www.wildberries.ru/catalog/143329828/detail.aspx?targetUrl=MI,Smartphones
152697072,,Samsung,,,"3,6",,https://www.wildberries.ru/catalog/152697072/detail.aspx?targetUrl=MI,Smartphones
