nm_id,name,brand,price,old_price,rating,feedbacks,url,category
18477299,/ Футболка базовая детская хлопок школьная,Happyfox,271,271,"4,9",16 441 оценка,https://www.wildberries.ru/catalog/18477299/detail.aspx,T-Shirts
9176946,/ Футболка белая однотонная хлопок,UZcotton,257,257,"4,9",76 799 оценок,https://www.wildberries.ru/catalog/9176946/detail.aspx,T-Shirts
18477296,/ Футболка базовая детская хлопок школьная,Happyfox,267,267,"4,9",24 001 оценка,https://www.wildberries.ru/catalog/18477296/detail.aspx,T-Shirts
206872479,/ Футболка однотонная базовая хлопок комплект 2 шт,smite,563,563,"4,9",216 762 оценки,https://www.wildberries.ru/catalog/206872479/detail.aspx,T-Shirts
168162157,/ Футболка базовая хлопковая,Happyfox,447,447,"4,9",8 651 оценка,https://www.wildberries.ru/catalog/168162157/detail.aspx,T-Shirts
12801488,/ Футболка темно-синяя однотонная,UZcotton,322,322,"4,9",404 142 оценки,https://www.wildberries.ru/catalog/12801488/detail.aspx,T-Shirts
12815693,/ Футболка однотонная базовая хлопок,t-sod,234,234,"4,9",42 195 оценок,https://www.wildberries.ru/catalog/12815693/detail.aspx,T-Shirts
337528063,/ Футболка черная однотонная хлопок 210,UZcotton,342,342,"4,9",472 897 оценок,https://www.wildberries.ru/catalog/337528063/detail.aspx,T-Shirts
4118319,/ Футболка однотонная базовая,Envy Lab,602,602,"4,9",10 592 оценки,https://www.wildberries.ru/catalog/4118319/detail.aspx,T-Shirts
260422509,/ Футболка со светящимся принтом,RoMaxTex,717,717,"4,9",13 855 оценок,https://www.wildberries.ru/catalog/260422509/detail.aspx,T-Shirts
21119074,/ Футболка базовая детская хлопок школьная,Happyfox,271,271,"4,9",9 996 оценок,https://www.wildberries.ru/catalog/21119074/detail.aspx,T-Shirts
13212359,/ Футболка серый меланж однотонная,UZcotton,322,322,"4,9",472 897 оценок,https://www.wildberries.ru/catalog/13212359/detail.aspx,T-Shirts
167936246,/ Футболка базовая хлопковая,Happyfox,454,454,"4,8",12 251 оценка,https://www.wildberries.ru/catalog/167936246/detail.aspx,T-Shirts
39090265,/ Футболка базовая детская хлопок школьная,Happyfox,281,281,"4,9",4 816 оценок,https://www.wildberries.ru/catalog/39090265/detail.aspx,T-Shirts
18477301,/ Футболка базовая детская хлопок школьная,Happyfox,249,249,"4,9",4 332 оценки,https://www.wildberries.ru/catalog/18477301/detail.aspx,T-Shirts
184370021,/ Футболка с принтом хлопок,ТОП БРЕНД,758,758,"4,9",31 959 оценок,https://www.wildberries.ru/catalog/184370021/detail.aspx?targetUrl=MI,T-Shirts
181110332,/ Футболка сюрприз с принтом в ассортименте мужская,CoolPodarok,388,388,"4,6",1 372 оценки,https://www.wildberries.ru/catalog/181110332/detail.aspx?targetUrl=MI,T-Shirts
184379022,/ Футболка черная с принтом,ТОП БРЕНД,788,788,"4,9",31 959 оценок,https://www.wildberries.ru/catalog/184379022/detail.aspx?targetUrl=MI,T-Shirts
188686221,/ Футболка черная с принтом,ТОП БРЕНД,608,608,"4,8",62 423 оценки,https://www.wildberries.ru/catalog/188686221/detail.aspx?targetUrl=MI,T-Shirts
152545477,,Nuobi my Style,,,"4,7",,https://www.wildberries.ru/catalog/152545477/detail.aspx?targetUrl=MI,T-Shirts
