nm_id,name,brand,price,old_price,rating,feedbacks,url,category
239930810,/ Бигуди для локонов мягкие,KALABRIA,202,202,"4,8",9 145 оценок,https://www.wildberries.ru/catalog/239930810/detail.aspx,Cosmetics
256372372,Керлер для подкручивания ресниц с резинками,Unknown,91,91,"4,4",6 407 оценок,https://www.wildberries.ru/catalog/256372372/detail.aspx,Cosmetics
196529335,/ Гель для бровей фиксатор,Fit Colors,72,72,"4,3",12 275 оценок,https://www.wildberries.ru/catalog/196529335/detail.aspx,Cosmetics
404637891,/ Патчи от прыщей прозрачные маскирующие 144шт,BIORICA,408,408,"4,9",12 731 оценка,https://www.wildberries.ru/catalog/404637891/detail.aspx,Cosmetics
170259474,/ набор увлажняющий бальзам для губ 4 шт,ПОДАРКИ НА НОВЫЙ ГОД!,131,131,"4,8",8 959 оценок,https://www.wildberries.ru/catalog/170259474/detail.aspx,Cosmetics
177125842,/ Сухой хайлайтер для лица тело,Ladys-Pretty,234,234,"4,7",3 691 оценка,https://www.wildberries.ru/catalog/177125842/detail.aspx,Cosmetics
192204573,/ Триммер для бровей и бритья лица и тела косметический,Shop_pm_nn,186,186,"4,8",7 950 оценок,https://www.wildberries.ru/catalog/192204573/detail.aspx,Cosmetics
227781583,/ Триммер для бровей,ИП Reiim,98,98,"4,8",6 798 оценок,https://www.wildberries.ru/catalog/227781583/detail.aspx,Cosmetics
155402079,/ Гель для бровей фиксирующий стойкий,Semily,199,199,"4,8",64 067 оценок,https://www.wildberries.ru/catalog/155402079/detail.aspx,Cosmetics
264995047,/ Разделитель для пальцев ног ортопедический,finger,113,113,"4,8",2 435 оценок,https://www.wildberries.ru/catalog/264995047/detail.aspx,Cosmetics
451207553,/ Сыворотка крем для лица увлажняющий,Jurello,157,157,"4,8",2 092 оценки,https://www.wildberries.ru/catalog/451207553/detail.aspx,Cosmetics
454274879,Керлер для подкручивания ресниц,Unknown,113,113,"4,7",495 оценок,https://www.wildberries.ru/catalog/454274879/detail.aspx,Cosmetics
225908152,Карандаш для губ,Unknown,304,304,"4,7",14 080 оценок,https://www.wildberries.ru/catalog/225908152/detail.aspx,Cosmetics
202955836,/ Бальзам для губ Виноградный 4гр,Amore’mio,191,191,"4,8",8 412 оценок,https://www.wildberries.ru/catalog/202955836/detail.aspx,Cosmetics
396938166,Воск для волос с расческами,Unknown,363,363,"4,8",1 064 оценки,https://www.wildberries.ru/catalog/396938166/detail.aspx,Cosmetics
11539647,/ Маска для лица тканевая увлажняющая питательная,7DAYS,118,118,"4,8",248 оценок,https://www.wildberries.ru/catalog/11539647/detail.aspx?targetUrl=MI,Cosmetics
11539648,/ Маска для лица тканевая увлажняющая питательная,7DAYS,118,118,"4,7",291 оценка,https://www.wildberries.ru/catalog/11539648/detail.aspx?targetUrl=MI,Cosmetics
151038296,/ Маски для лица,Xan Collection,79,79,"4,8",176 оценок,https://www.wildberries.ru/catalog/151038296/detail.aspx?targetUrl=MI,Cosmetics
93359260,,Maybelline New York Тушь черная для ресниц тон и,240,240,"4,5",13 228 оценок,https://www.wildberries.ru/catalog/93359260/detail.aspx?targetUrl=MI,Cosmetics
151038300,,Xan Collection,79,79,"4,8",,https://www.wildberries.ru/catalog/151038300/detail.aspx?targetUrl=MI,Cosmetics
