nm_id,name,brand,price,old_price,rating,feedbacks,url,category
535714980,/ Куртка на синтепоне с капюшоном,ТВОЕ,3679,3679,"4,7",146 оценок,https://www.wildberries.ru/catalog/535714980/detail.aspx,Jackets
241896839,"/ Удлиненная куртка для девочки, зима",Crockid,4427,4427,"4,9",168 оценок,https://www.wildberries.ru/catalog/241896839/detail.aspx,Jackets
265897353,/ Зимняя куртка утепленная пуховик с капюшоном для подростка,PlayToday,3379,3379,"4,9",106 оценок,https://www.wildberries.ru/catalog/265897353/detail.aspx,Jackets
291486496,/ Куртка демисезонная большие размеры утепленная,DEVINSTYLE,4110,4110,"4,8",276 оценок,https://www.wildberries.ru/catalog/291486496/detail.aspx,Jackets
171103443,/ Куртка зимняя с капюшоном оверсайз больших размеров,ALETI,5763,5763,"4,8",773 оценки,https://www.wildberries.ru/catalog/171103443/detail.aspx,Jackets
606197624,/ Куртка зимняя удлиненная с капюшоном оверсайз,GossipGirl,6341,6341,"4,5",50 оценок,https://www.wildberries.ru/catalog/606197624/detail.aspx,Jackets
485059884,/ Куртка стеганая демисезонная непромокаемая с кулиской,ACOOLA,2619,2619,"4,7",96 оценок,https://www.wildberries.ru/catalog/485059884/detail.aspx,Jackets
446736725,/ Куртка зимняя короткая с капюшоном,GNEDOVSKAYA,4406,4406,"4,9",29 оценок,https://www.wildberries.ru/catalog/446736725/detail.aspx,Jackets
174192826,/ Зимняя куртка,PlayToday,2542,2542,"4,7",167 оценок,https://www.wildberries.ru/catalog/174192826/detail.aspx,Jackets
192103478,/ Куртка зимняя демисезонная оверсайз для подростка,Sweet You,6503,6503,"4,9",1 488 оценок,https://www.wildberries.ru/catalog/192103478/detail.aspx,Jackets
168120324,/ Куртка зимняя,Crockid,3503,3503,"4,9",197 оценок,https://www.wildberries.ru/catalog/168120324/detail.aspx,Jackets
242007691,/ Мембранная куртка утепленная для детей,Crockid,3534,3534,"4,9",52 оценки,https://www.wildberries.ru/catalog/242007691/detail.aspx,Jackets
291646521,/ зимняя куртка,KOCMOC,2246,2246,"4,7",60 оценок,https://www.wildberries.ru/catalog/291646521/detail.aspx,Jackets
493170805,/ Демисезонная куртка оверсайз на синтепоне,ТВОЕ,4175,4175,"4,7",236 оценок,https://www.wildberries.ru/catalog/493170805/detail.aspx,Jackets
592869546,/ Куртка стеганая с завязками,Befree,4453,4453,"4,7",12 оценок,https://www.wildberries.ru/catalog/592869546/detail.aspx,Jackets
175198445,/ Куртка демисезонная оверсайз,Miss Bliss,6489,6489,"4,8",918 оценок,https://www.wildberries.ru/catalog/175198445/detail.aspx?targetUrl=MI,Jackets
99783721,Пуховик куртка укороченный демисезонный Stocker,Unknown,16082,16082,"4,5",182 оценки,https://www.wildberries.ru/catalog/99783721/detail.aspx?targetUrl=MI,Jackets
135467468,/ Куртка демисезонная стойка оверсайз,Zimberg,5710,5710,"4,5",125 оценок,https://www.wildberries.ru/catalog/135467468/detail.aspx?targetUrl=MI,Jackets
97357501,/ Куртка зимняя с капюшоном короткая,MARUZE,7424,7424,"4,8",1 673 оценки,https://www.wildberries.ru/catalog/97357501/detail.aspx?targetUrl=MI,Jackets
41819004,,,,,"4,6",,https://www.wildberries.ru/catalog/41819004/detail.aspx?targetUrl=MI,Jackets
