nm_id,name,brand,price,old_price,rating,feedbacks,url,category
400525406,/ Джинсы мом с высокой посадкой,SHELKOVITSA,2382,2382,"4,8",333 оценки,https://www.wildberries.ru/catalog/400525406/detail.aspx,Jeans
491612246,/ Джинсы широкие трубы прямые,Betoko,2692,2692,"4,9",645 оценок,https://www.wildberries.ru/catalog/491612246/detail.aspx,Jeans
252809821,/ Джинсы багги широкие,EZZEVIKA,2382,2382,"4,7",1 769 оценок,https://www.wildberries.ru/catalog/252809821/detail.aspx,Jeans
261242795,/ Джинсы бананы с высокой посадкой mom,CARLOTTY JEANS,1341,1341,"4,8",133 оценки,https://www.wildberries.ru/catalog/261242795/detail.aspx,Jeans
418131113,/ Джинсы прямые широкие с высокой посадкой,Closie,2496,2496,"4,9",345 оценок,https://www.wildberries.ru/catalog/418131113/detail.aspx,Jeans
36123736,/ Джинсы широкие высокая посадка прямые трубы палаццо,Feimailis,1323,1323,"4,6",2 894 оценки,https://www.wildberries.ru/catalog/36123736/detail.aspx,Jeans
147968919,/ Джинсы бананы высокая посадка серые мом,Feimailis,1079,1079,"4,7",9 151 оценка,https://www.wildberries.ru/catalog/147968919/detail.aspx,Jeans
258286821,/ Джинсы бананы мом высокая посадка,Feimailis,1855,1855,"4,9",1 407 оценок,https://www.wildberries.ru/catalog/258286821/detail.aspx,Jeans
117804648,/ Джинсы прямые классические стрейч,Feimailis,1293,1293,"4,7",7 677 оценок,https://www.wildberries.ru/catalog/117804648/detail.aspx,Jeans
163993056,/ Джинсы бананы мом высокая посадка бойфренд джоггеры баллон,Fari Land,1572,1572,"4,6",5 744 оценки,https://www.wildberries.ru/catalog/163993056/detail.aspx,Jeans
178038947,,"SAJ ARNOLD,MaxQ,RUS-BARON,CORINOO,MOCK-UPJEANS",1617,1617,"4,8",2 480 оценок,https://www.wildberries.ru/catalog/178038947/detail.aspx,Jeans
180108974,,"SAJ ARNOLD,MaxQ,RUS-BARON,CORINOO,MOCK-UPJEANS",1806,1806,"4,8",3 194 оценки,https://www.wildberries.ru/catalog/180108974/detail.aspx,Jeans
178171093,/ Джинсы с высокой посадкой скинни зауженные стрейч,Milway,1321,1321,"4,7",8 182 оценки,https://www.wildberries.ru/catalog/178171093/detail.aspx,Jeans
312748012,/ Джинсы трубы широкие с высокой посадкой,Sam Alex’s Jeans,1605,1605,"4,3",1 022 оценки,https://www.wildberries.ru/catalog/312748012/detail.aspx,Jeans
188760606,/ Джинсы прямые трубы высокая посадка,Feimailis,1906,1906,"4,7",3 087 оценок,https://www.wildberries.ru/catalog/188760606/detail.aspx,Jeans
148304343,/ Джинсы прямые с высокой посадкой,JC Brand,2551,2551,"4,8",509 оценок,https://www.wildberries.ru/catalog/148304343/detail.aspx?targetUrl=MI,Jeans
60736653,/ Джинсы высокие клеш от колена,Avrilla,3953,3953,"4,8",174 оценки,https://www.wildberries.ru/catalog/60736653/detail.aspx?targetUrl=MI,Jeans
139934084,/ Худи оверсайз с принтом с капюшоном,TRENDiZ,1819,1819,"4,6",315 оценок,https://www.wildberries.ru/catalog/139934084/detail.aspx?targetUrl=MI,Jeans
54601141,/ Джинсы прямые широкие палаццо,JC Brand,2017,2017,"4,7",2 908 оценок,https://www.wildberries.ru/catalog/54601141/detail.aspx?targetUrl=MI,Jeans
163832161,,,,,"4,8",,https://www.wildberries.ru/catalog/163832161/detail.aspx?targetUrl=MI,Jeans
