nm_id,name,brand,price,old_price,rating,feedbacks,url,category
567276730,"/ Gaming A16 GA63H 16"" Ryzen 7 260 32 1024 RTX 5060 DOS",Gigabyte,105367,105367,"4,7",12 оценок,https://www.wildberries.ru/catalog/567276730/detail.aspx,Laptops
278357559,"/ Ноутбук для работы и учебы 15,6"" 4-ядра IPS 16Gb SSD 512 Gb",SkyX,28387,28387,"4,8",1 230 оценок,https://www.wildberries.ru/catalog/278357559/detail.aspx,Laptops
270762735,"/ Ноутбук для работы и учебы Taganay 15,6"" IPS 16 512 GB",Echips,22621,22621,"4,8",1 313 оценок,https://www.wildberries.ru/catalog/270762735/detail.aspx,Laptops
538317372,/ WUJIE 14 ноутбук Ryzen 7 7840HS 16G+512G 2.8K,MECHREVO,35973,35973,"4,5",11 оценок,https://www.wildberries.ru/catalog/538317372/detail.aspx,Laptops
412016966,"Ноутбук 15 6"" FHD Intel N5095 RAM 16GB SSD 512GB",Unknown,22975,22975,"4,8",67 оценок,https://www.wildberries.ru/catalog/412016966/detail.aspx,Laptops
453356377,/ Ноутбук Genesis R17 (JJ00G400HRU),MACHCREATOR,58402,58402,"3,4",5 оценок,https://www.wildberries.ru/catalog/453356377/detail.aspx,Laptops
476272514,/ Ноутбук игровой Victus 15-FA2013DX i5-13420H 32Gb 1Тb,HP,77806,77806,5,7 оценок,https://www.wildberries.ru/catalog/476272514/detail.aspx,Laptops
456854637,/ Ноутбук ROG Zephyrus G16 GU605CR-QR180,Asus,294269,294269,5,1 оценка,https://www.wildberries.ru/catalog/456854637/detail.aspx,Laptops
224511097,"/ Ноутбук для учебы и работы игровой 15.6""12GB DDR5, SSD 512GB",MTX,39609,39609,"4,7",812 оценок,https://www.wildberries.ru/catalog/224511097/detail.aspx,Laptops
583257706,"/ Ноутбук Vivobook Go 15 E1504FA-BQ1929 15.6"" R5-7520U 16GB 51…",Asus,44833,44833,5,32 оценки,https://www.wildberries.ru/catalog/583257706/detail.aspx,Laptops
534649011,"/ LOQ 15IAX9 15.6"" i5 24 512 RTX 3050 DOS",Lenovo,70841,70841,"4,8",129 оценок,https://www.wildberries.ru/catalog/534649011/detail.aspx,Laptops
293388568,"/ Ноутбук 15.6"" Intel N100, 8 256, Windows 11",Vitumi,19871,19871,"4,7",251 оценка,https://www.wildberries.ru/catalog/293388568/detail.aspx,Laptops
425037613,"/ 16.1"" Ноутбук игровой i5 для работы 128ГБ 2 ТБ для учебы",SSFFBB,26210,26210,"4,6",49 оценок,https://www.wildberries.ru/catalog/425037613/detail.aspx,Laptops
498746383,/ ноутбук Ryzen 7 7840HS 16G+512G 2.8K 16 10 WUJIE14,MECHREVO,36336,36336,"4,8",12 оценок,https://www.wildberries.ru/catalog/498746383/detail.aspx,Laptops
473177615,"Ноутбук для работы и учебы 15 6"" IPS RAM 16 GB SSD 512 GB",Unknown,24213,24213,"4,9",298 оценок,https://www.wildberries.ru/catalog/473177615/detail.aspx,Laptops
154015512,/ Сумка для ноутбука до 15.6 на плечо,ПРОМИКС,1180,1180,"4,8",1 621 оценка,https://www.wildberries.ru/catalog/154015512/detail.aspx?targetUrl=MI,Laptops
92406921,/ сумка для ноутбука 15 15.6 16 16.1 дюймов,MAHOO,1732,1732,"4,9",567 оценок,https://www.wildberries.ru/catalog/92406921/detail.aspx?targetUrl=MI,Laptops
169344704,/ Сумка для ноутбука 15.6 - 16 дюймов противоударная,Tuesday team,2149,2149,"4,8",1 252 оценки,https://www.wildberries.ru/catalog/169344704/detail.aspx?targetUrl=MI,Laptops
158345459,"/ Сумка для ноутбука 17 17,3 17.3 дюймов стильная подарок",RUSVELT,1593,1593,"4,9",1 647 оценок,https://www.wildberries.ru/catalog/158345459/detail.aspx?targetUrl=MI,Laptops
8400002,,,,,"4,9",,https://www.wildberries.ru/catalog/8400002/detail.aspx?targetUrl=MI,Laptops
