nm_id,name,brand,price,old_price,rating,feedbacks,url,category
136549399,"/ Духи женские сладкие Mur Mur, парфюмерная вода Фаберлик",Faberlic,420,420,"4,8",70 562 оценки,https://www.wildberries.ru/catalog/136549399/detail.aspx,Perfumes
254171368,"/ Набор мужских духов 12 шт по 3,5 мл",PREMIUM Parfum Aurendal,437,437,"4,8",3 832 оценки,https://www.wildberries.ru/catalog/254171368/detail.aspx,Perfumes
34659218,/ Духи Strawberry Клубника женские сладкие стойкие 14 мл,CHRISTINE LAVOISIER PARFUMS,348,348,"4,8",75 195 оценок,https://www.wildberries.ru/catalog/34659218/detail.aspx,Perfumes
584596278,/ Парфюмерная вода для женщин Beauty Cafe Cherry,Faberlic,275,275,"4,8",238 оценок,https://www.wildberries.ru/catalog/584596278/detail.aspx,Perfumes
321462774,"/ Духи мужские сладкие стойкие масляные, набор пробников 12 шт",La doux brume,546,546,"4,7",15 218 оценок,https://www.wildberries.ru/catalog/321462774/detail.aspx,Perfumes
397434647,lacoste духи мужские,Unknown,631,631,"4,6",1 274 оценки,https://www.wildberries.ru/catalog/397434647/detail.aspx,Perfumes
87227319,"/ Парфюмерная вода Kaori Фаберлик, женские духи в подарок",Faberlic,554,554,"4,7",12 742 оценки,https://www.wildberries.ru/catalog/87227319/detail.aspx,Perfumes
71658978,/ Духи женские Believe me Love in the air сладкие 50 мл,You&World,677,677,"4,8",13 230 оценок,https://www.wildberries.ru/catalog/71658978/detail.aspx,Perfumes
259965582,/ Духи женские стойкие 6 шт по 10 мл,DinoLuce,551,551,"4,8",32 617 оценок,https://www.wildberries.ru/catalog/259965582/detail.aspx,Perfumes
237071614,/ Духи масляные стойкие Homme Allure,Permegi,843,843,"4,6",521 оценка,https://www.wildberries.ru/catalog/237071614/detail.aspx,Perfumes
335924086,/ Духи Black opium 12 мл,Husab perfeme,422,422,"4,7",789 оценок,https://www.wildberries.ru/catalog/335924086/detail.aspx,Perfumes
404241228,Духи Yves Saint Laurent Black Opium по мотивам,Unknown,379,379,"4,4",87 оценок,https://www.wildberries.ru/catalog/404241228/detail.aspx,Perfumes
245624542,"/ Туалетная вода Candy Story, духи женские Фаберлик",Faberlic,420,420,"4,8",1 951 оценка,https://www.wildberries.ru/catalog/245624542/detail.aspx,Perfumes
287894731,/ Туалетная вода мужская CITY VISION Pheromone 100 мл,CITY PARFUM,1088,1088,"4,7",115 оценок,https://www.wildberries.ru/catalog/287894731/detail.aspx,Perfumes
46160670,/ Масляные духи сладкие стойкие Черный Опиум Black Opium,Fancy Selective Perfume,343,343,"4,8",37 298 оценок,https://www.wildberries.ru/catalog/46160670/detail.aspx,Perfumes
179093892,/ Tiziana Terenzi Kirke Кирке Кирки Духи Женские,ДУХИ СТОЙКИЕ,833,833,"4,2",100 оценок,https://www.wildberries.ru/catalog/179093892/detail.aspx?targetUrl=MI,Perfumes
135678732,,CHRISTINE LAVOISIER PARFUMS,514,514,"4,5",1 755 оценок,https://www.wildberries.ru/catalog/135678732/detail.aspx?targetUrl=MI,Perfumes
175207724,/ Tiziana Terenzi Кирке Кирки оригинал,Kirke,3470,3470,"4,4",91 оценка,https://www.wildberries.ru/catalog/175207724/detail.aspx?targetUrl=MI,Perfumes
178213436,"/ ПАРФЮМЕРНАЯ ВОДА Lady Million Paco Rabanne, 80 мл",купить духи,2605,2605,"3,5",220 оценок,https://www.wildberries.ru/catalog/178213436/detail.aspx?targetUrl=MI,Perfumes
153156761,,Moscow Shop,,,"4,6",,https://www.wildberries.ru/catalog/153156761/detail.aspx?targetUrl=MI,Perfumes
