nm_id,name,brand,price,old_price,rating,feedbacks,url,category
220118174,/ Умные смарт часы 10 серии для женщин,Tecno Club,1016,1016,"4,5",4 284 оценки,https://www.wildberries.ru/catalog/220118174/detail.aspx,Smart Watches
396158782,/ Смарт часы smart watch 10,Qronix,1307,1307,"4,5",1 350 оценок,https://www.wildberries.ru/catalog/396158782/detail.aspx,Smart Watches
254633970,/ Смарт часы 10 серия для женщин и мужчин,Tecno Club,1166,1166,"4,4",2 094 оценки,https://www.wildberries.ru/catalog/254633970/detail.aspx,Smart Watches
463640188,/ Умные смарт часы Smart Watch 10 в подарочном наборе 9 в 1,Qronix,1983,1983,"4,6",608 оценок,https://www.wildberries.ru/catalog/463640188/detail.aspx,Smart Watches
309427177,/ Смарт часы 10 серии,MOZAIKA Store,1911,1911,"4,6",2 969 оценок,https://www.wildberries.ru/catalog/309427177/detail.aspx,Smart Watches
273347959,/ Смарт-часы 9 серии,MOZAIKA Store,1214,1214,"4,6",3 241 оценка,https://www.wildberries.ru/catalog/273347959/detail.aspx,Smart Watches
327101869,/ Смарт часы круглые водонепроницаемые smart watch,PixAi,3103,3103,"4,9",3 087 оценок,https://www.wildberries.ru/catalog/327101869/detail.aspx,Smart Watches
144342463,/ Смарт часы 9 серии,MOZAIKA Store,1086,1086,"4,6",20 195 оценок,https://www.wildberries.ru/catalog/144342463/detail.aspx,Smart Watches
273347742,/ Смарт-часы 9 серии,MOZAIKA Store,1024,1024,"4,6",2 816 оценок,https://www.wildberries.ru/catalog/273347742/detail.aspx,Smart Watches
315360159,/ Смарт часы Smart Watch,подарок мужчине,1633,1633,"4,8",122 оценки,https://www.wildberries.ru/catalog/315360159/detail.aspx,Smart Watches
217905572,/ Смарт часы Smart Watch 8,JOY of LIFE,708,708,"4,2",12 306 оценок,https://www.wildberries.ru/catalog/217905572/detail.aspx,Smart Watches
398315865,/ Умные часы наручные smart watch,Qronix,1221,1221,"4,5",1 143 оценки,https://www.wildberries.ru/catalog/398315865/detail.aspx,Smart Watches
499720046,Venta смарт часы,Unknown,414,414,"4,4",5 оценок,https://www.wildberries.ru/catalog/499720046/detail.aspx,Smart Watches
366132359,/ Смарт часы Watch 10 сенсорные,Электронный мир,1461,1461,"4,6",297 оценок,https://www.wildberries.ru/catalog/366132359/detail.aspx,Smart Watches
309427456,/ Смарт часы 10 серии,MOZAIKA Store,2063,2063,"4,6",1 844 оценки,https://www.wildberries.ru/catalog/309427456/detail.aspx,Smart Watches
139817591,/ Смарт часы мужские 10 серия,Smart_Pro,954,954,"4,2",3 761 оценка,https://www.wildberries.ru/catalog/139817591/detail.aspx?targetUrl=MI,Smart Watches
144342463,/ Смарт часы 9 серии,MOZAIKA Store,1086,1086,"4,6",20 195 оценок,https://www.wildberries.ru/catalog/144342463/detail.aspx?targetUrl=MI,Smart Watches
137659229,/ Смарт часы 9 серии,MOZAIKA Store,1631,1631,"4,6",18 574 оценки,https://www.wildberries.ru/catalog/137659229/detail.aspx?targetUrl=MI,Smart Watches
155523098,/ Умные смарт часы Smart Watch,Xiaomi,3241,3241,"4,5",2 878 оценок,https://www.wildberries.ru/catalog/155523098/detail.aspx?targetUrl=MI,Smart Watches
110424030,,TonTon,,,4,,https://www.wildberries.ru/catalog/110424030/detail.aspx?targetUrl=MI,Smart Watches
