nm_id,name,brand,price,old_price,rating,feedbacks,url,category
152540730,/ Кроссовки спортивные на платформе,JOYCITY,818,818,"4,8",108 200 оценок,https://www.wildberries.ru/catalog/152540730/detail.aspx,Sneakers
314938351,/ Кроссовки демисезонные белые спортивные на платформе,GIMME-U,1107,1107,"4,7",2 220 оценок,https://www.wildberries.ru/catalog/314938351/detail.aspx,Sneakers
550087232,/ Кроссовки демисезонные белые спортивные на платформе,GIMME-U,775,775,"4,9",31 оценка,https://www.wildberries.ru/catalog/550087232/detail.aspx,Sneakers
527925721,/ Кроссовки зимние с мехом высокие,T.TACCARDI,1514,1514,5,165 оценок,https://www.wildberries.ru/catalog/527925721/detail.aspx,Sneakers
431544557,/ Зимние Кроссовки для мальчиков,GILABUNNY,1152,1152,5,157 оценок,https://www.wildberries.ru/catalog/431544557/detail.aspx,Sneakers
353409020,/ Кроссовки черные спортивные на высокой подошве,GIMME-U,847,847,"4,7",1 501 оценка,https://www.wildberries.ru/catalog/353409020/detail.aspx,Sneakers
310230227,/ Кроссовки белые на платформе,Monkey Shoes,1442,1442,"4,8",1 735 оценок,https://www.wildberries.ru/catalog/310230227/detail.aspx,Sneakers
409616847,/ Кроссовки Air Force 1 Форсы,Nike,2097,2097,"4,8",362 оценки,https://www.wildberries.ru/catalog/409616847/detail.aspx,Sneakers
170795108,/ Кроссовки для мальчиков Want,GSD,1648,1648,"4,9",11 011 оценок,https://www.wildberries.ru/catalog/170795108/detail.aspx,Sneakers
235877630,/ Кроссовки белые на платформе осень,MAVCONSEC,1467,1467,"4,8",1 888 оценок,https://www.wildberries.ru/catalog/235877630/detail.aspx,Sneakers
461247562,/ Детские Кроссовки,Boys and Girls,1163,1163,"4,8",3 918 оценок,https://www.wildberries.ru/catalog/461247562/detail.aspx,Sneakers
323141183,/ Кроссовки черные спортивные на высокой белой подошве,JOYCITY,994,994,"4,7",1 588 оценок,https://www.wildberries.ru/catalog/323141183/detail.aspx,Sneakers
453203581,/ Кроссовки зимние с мехом высокие,BAASPLOA,4456,4456,"4,9",1 304 оценки,https://www.wildberries.ru/catalog/453203581/detail.aspx,Sneakers
440813138,/ Кроссовки женские черные,O`SHADE,1467,1467,"4,8",5 835 оценок,https://www.wildberries.ru/catalog/440813138/detail.aspx,Sneakers
273612079,/ КОЖАНЫЕ Кроссовки кеды массивные полуботинки дутые,X-Plode,2825,2825,"4,6",670 оценок,https://www.wildberries.ru/catalog/273612079/detail.aspx,Sneakers
164435584,/ Кеды кроссовки демисезонные на платформе,Crosby,870,870,"4,7",2 819 оценок,https://www.wildberries.ru/catalog/164435584/detail.aspx?targetUrl=MI,Sneakers
171043375,/ Кроссовки демисезонные,Discount777,1410,1410,"4,5",469 оценок,https://www.wildberries.ru/catalog/171043375/detail.aspx?targetUrl=MI,Sneakers
157891155,/ Кроссовки Adidas Drop Step осенние спортивные,EXCLUSIVE,4248,4248,"4,4",255 оценок,https://www.wildberries.ru/catalog/157891155/detail.aspx?targetUrl=MI,Sneakers
122101481,/ Кроссовки спортивные демисезонные M2K TEKNO,Nike,1465,1465,"4,5",740 оценок,https://www.wildberries.ru/catalog/122101481/detail.aspx?targetUrl=MI,Sneakers
155257237,,New Balance,,,"4,5",,https://www.wildberries.ru/catalog/155257237/detail.aspx?targetUrl=MI,Sneakers
