nm_id,name,brand,price,old_price,rating,feedbacks,url,category
440603595,/ Планшет андроид с клавиатурой для игр и фильмов 8 256,FSPLACE,6615,6615,"4,7",674 оценки,https://www.wildberries.ru/catalog/440603595/detail.aspx,Tablets
627342111,Планшет андроид с клавиатурой,Unknown,6745,6745,"4,4",20 оценок,https://www.wildberries.ru/catalog/627342111/detail.aspx,Tablets
613518742,Планшет андроид с клавиатурой 6 гб 128гб,Unknown,5981,5981,"4,9",33 оценки,https://www.wildberries.ru/catalog/613518742/detail.aspx,Tablets
519029015,/ Планшет Pad X9 WIFI 8ГБ+128ГБ без поддержки SIM (5301AJAD),HONOR,17679,17679,5,182 оценки,https://www.wildberries.ru/catalog/519029015/detail.aspx,Tablets
241832391,/ Планшет для рисования электронный детский,Kitso,242,242,"4,8",12 709 оценок,https://www.wildberries.ru/catalog/241832391/detail.aspx,Tablets
338474069,Планшет андроид с клавиатурой 6 ГБ 128 ГБ,Unknown,5757,5757,"4,7",2 348 оценок,https://www.wildberries.ru/catalog/338474069/detail.aspx,Tablets
329625993,/ Планшет MatePad 11.5 Wi-Fi 6 128 ГБ Серый,Huawei,11896,11896,"4,9",169 оценок,https://www.wildberries.ru/catalog/329625993/detail.aspx,Tablets
557373758,/ Планшет REDMI Pad 2 Pro 8+256 Silver,Xiaomi,31830,31830,5,23 оценки,https://www.wildberries.ru/catalog/557373758/detail.aspx,Tablets
306201279,"/ Планшет Tab 10S 4+128ГБ, Серый (AHTAB10S2409GE)",ACD,4599,4599,"4,5",415 оценок,https://www.wildberries.ru/catalog/306201279/detail.aspx,Tablets
681520135,Планшет андроид с клавиатурой стилусом и чехлом 16 1024 Гб,Unknown,11209,11209,"4,9",114 оценок,https://www.wildberries.ru/catalog/681520135/detail.aspx,Tablets
292596021,/ Планшет андроид T60 Plus 12'' 2K IPS G80 6+10Gb 128G LTE,TECLAST,11543,11543,"4,7",245 оценок,https://www.wildberries.ru/catalog/292596021/detail.aspx,Tablets
413308172,"/ Планшет андроид A6H 11"" 10 ГБ + 128 ГБ серый",Zynex,6113,6113,"4,8",34 оценки,https://www.wildberries.ru/catalog/413308172/detail.aspx,Tablets
557499008,/ Планшет REDMI Pad 2 Pro 5G 8+256 Graphite Gray,Xiaomi,38658,38658,5,41 оценка,https://www.wildberries.ru/catalog/557499008/detail.aspx,Tablets
442989976,/ Планшет андроид с клавиатурой Lingbo M5 Pro,HomeTechCO,12714,12714,"4,8",395 оценок,https://www.wildberries.ru/catalog/442989976/detail.aspx,Tablets
543951439,/ Планшет андроид T50 Plus 11'' IPS 120Гц 8+12Gb 256G LTE,TECLAST,12517,12517,"4,9",305 оценок,https://www.wildberries.ru/catalog/543951439/detail.aspx,Tablets
168200185,"/ Планшет Umiio A19 Pro 10.1"" 2sim 6GB 128GB",Планшетный компьютер Umiio,7062,7062,"4,5",2 209 оценок,https://www.wildberries.ru/catalog/168200185/detail.aspx?targetUrl=MI,Tablets
138020025,/ Планшет детский Андроид,Wintouch,3518,3518,"4,2",2 905 оценок,https://www.wildberries.ru/catalog/138020025/detail.aspx?targetUrl=MI,Tablets
151021392,/ Планшет детский андроид,Wintouch,3823,3823,"4,2",2 561 оценка,https://www.wildberries.ru/catalog/151021392/detail.aspx?targetUrl=MI,Tablets
148528435,/ Планшет детский Андроид,Wintouch,3518,3518,"4,2",3 517 оценок,https://www.wildberries.ru/catalog/148528435/detail.aspx?targetUrl=MI,Tablets
154672881,,PRO_TECHNO_N1,310,310,"4,7",,https://www.wildberries.ru/catalog/154672881/detail.aspx?targetUrl=MI,Tablets
