nm_id,name,brand,price,old_price,rating,feedbacks,url,category
463072966,Планшет для рисования электронный для детей,Unknown,310,310,"4,8",1 313 оценок,https://www.wildberries.ru/catalog/463072966/detail.aspx,Toys
12186893,/ Юла для малышей музыкальная,Умелец Я,359,359,"4,8",9 013 оценок,https://www.wildberries.ru/catalog/12186893/detail.aspx,Toys
231165952,/ Детские музыкальные развивающие игрушки для малышей,FergoKids,543,543,"4,8",7 976 оценок,https://www.wildberries.ru/catalog/231165952/detail.aspx,Toys
8143657,/ Настольная детская игра для компании Крокодил,ЛАС ИГРАС,230,230,"4,7",28 397 оценок,https://www.wildberries.ru/catalog/8143657/detail.aspx,Toys
339023093,Развивающая музыкальная игрушка для детей,Unknown,458,458,"4,9",1 838 оценок,https://www.wildberries.ru/catalog/339023093/detail.aspx,Toys
275120289,/ Детский игрушечный пистолет с пульками мишенью коробкой,TwinToys,339,339,"4,5",472 оценки,https://www.wildberries.ru/catalog/275120289/detail.aspx,Toys
451609060,/ Игрушка антистресс гусеница детская,Склад игрушек,220,220,"4,9",371 оценка,https://www.wildberries.ru/catalog/451609060/detail.aspx,Toys
271236657,/ Новогодние подарки для малышей,Puzzle Time,90,90,"4,6",167 оценок,https://www.wildberries.ru/catalog/271236657/detail.aspx,Toys
221537353,/ Выращивание растений для детей Пташки,Эврики,93,93,"4,9",1 123 оценки,https://www.wildberries.ru/catalog/221537353/detail.aspx,Toys
208072862,/ Набор детской посуды игрушечной металлический,IGRUSHKI,797,797,"4,9",824 оценки,https://www.wildberries.ru/catalog/208072862/detail.aspx,Toys
244141371,/ Игрушки для ванной светящиеся кубики детские,win win,273,273,"4,8",7 986 оценок,https://www.wildberries.ru/catalog/244141371/detail.aspx,Toys
67262059,/ Наклейки детские,Буква-Ленд,97,97,"4,9",7 049 оценок,https://www.wildberries.ru/catalog/67262059/detail.aspx,Toys
498185137,/ Детский электронный цветной планшет для рисования,DG Toy,340,340,"4,9",11 690 оценок,https://www.wildberries.ru/catalog/498185137/detail.aspx,Toys
498185135,/ Детский электронный цветной планшет для рисования,DG Toy,340,340,"4,9",11 690 оценок,https://www.wildberries.ru/catalog/498185135/detail.aspx,Toys
219214224,/ Музыкальная игрушка для малышей гусеница,play rus,777,777,"4,9",4 445 оценок,https://www.wildberries.ru/catalog/219214224/detail.aspx,Toys
16707887,/ Сортер кубик для малышей большой + Пирамидка малая+ Каталка,KAROLINA TOYS,850,850,5,75 оценок,https://www.wildberries.ru/catalog/16707887/detail.aspx?targetUrl=MI,Toys
16052801,/ Инерционная игрушка заводная сова,BOSSTOYS,231,231,"4,9",3 028 оценок,https://www.wildberries.ru/catalog/16052801/detail.aspx?targetUrl=MI,Toys
46059601,/ Игрушка Заводная Инерционная Трещётка нажми и поедет,TIPTOPOLIS,278,278,"4,9",1 127 оценок,https://www.wildberries.ru/catalog/46059601/detail.aspx?targetUrl=MI,Toys
146642488,"/ Кактус танцующий, музыкальный развивающая поющая игрушка",Zalyland,555,555,"4,7",28 252 оценки,https://www.wildberries.ru/catalog/146642488/detail.aspx?targetUrl=MI,Toys
66489702,,AYVA TOYS,,,"4,6",,https://www.wildberries.ru/catalog/66489702/detail.aspx?targetUrl=MI,Toys
