nm_id,name,brand,price,old_price,rating,feedbacks,url,category
220118174,/ Умные смарт часы 10 серии для женщин,Tecno Club,1016,1016,"4,5",4 284 оценки,https://www.wildberries.ru/catalog/220118174/detail.aspx,Watches
243490378,/ Часы наручные кварцевые,gogoey,462,462,"4,7",840 оценок,https://www.wildberries.ru/catalog/243490378/detail.aspx,Watches
166901162,/ Часы электронные настольные от сети будильник на батарейках,Часы маркет,294,294,"4,7",4 128 оценок,https://www.wildberries.ru/catalog/166901162/detail.aspx,Watches
273347959,/ Смарт-часы 9 серии,MOZAIKA Store,1214,1214,"4,6",3 241 оценка,https://www.wildberries.ru/catalog/273347959/detail.aspx,Watches
260325991,/ Часы наручные кварцевые,Fath,507,507,"4,8",54 оценки,https://www.wildberries.ru/catalog/260325991/detail.aspx,Watches
280161526,/ Часы наручные кварцевые,Emporio Watch,712,712,"4,4",5 209 оценок,https://www.wildberries.ru/catalog/280161526/detail.aspx,Watches
144342463,/ Смарт часы 9 серии,MOZAIKA Store,1086,1086,"4,6",20 195 оценок,https://www.wildberries.ru/catalog/144342463/detail.aspx,Watches
486724095,/ Часы будильник детские настольные обучающие,A I S,363,363,"4,8",216 оценок,https://www.wildberries.ru/catalog/486724095/detail.aspx,Watches
280161525,/ Часы наручные кварцевые,Emporio Watch,679,679,"4,3",2 138 оценок,https://www.wildberries.ru/catalog/280161525/detail.aspx,Watches
188583526,/ Часы настольные электронные декор для дома,часики,529,529,"4,7",2 577 оценок,https://www.wildberries.ru/catalog/188583526/detail.aspx,Watches
137659229,/ Смарт часы 9 серии,MOZAIKA Store,1631,1631,"4,6",18 574 оценки,https://www.wildberries.ru/catalog/137659229/detail.aspx,Watches
289867587,/ Часы наручные кварцевые,Emporio Watch,681,681,"4,2",1 512 оценок,https://www.wildberries.ru/catalog/289867587/detail.aspx,Watches
486724096,/ Часы будильник детские настольные обучающие,A I S,363,363,"4,9",236 оценок,https://www.wildberries.ru/catalog/486724096/detail.aspx,Watches
563037624,/ Наручные часы с крупным циферблатом,ZHwatch,228,228,"4,9",16 оценок,https://www.wildberries.ru/catalog/563037624/detail.aspx,Watches
343928714,/ Часы наручные матовые,QMAR,1129,1129,"4,5",488 оценок,https://www.wildberries.ru/catalog/343928714/detail.aspx,Watches
172327455,/ Часы наручные кварцевые,NoTime,418,418,"4,4",1 111 оценок,https://www.wildberries.ru/catalog/172327455/detail.aspx?targetUrl=MI,Watches
124545865,/ Часы наручные кварцевые,OLEVS,1839,1839,"4,7",195 оценок,https://www.wildberries.ru/catalog/124545865/detail.aspx?targetUrl=MI,Watches
171065770,/ часы наручные классические,CASIO Watch,867,867,"4,4",1 355 оценок,https://www.wildberries.ru/catalog/171065770/detail.aspx?targetUrl=MI,Watches
149747392,/ Часы наручные механические с автоподзаводом скелетон,ON THE HAND,2992,2992,"4,7",1 693 оценки,https://www.wildberries.ru/catalog/149747392/detail.aspx?targetUrl=MI,Watches
142657098,,Al-Harameen,,,"4,9",,https://www.wildberries.ru/catalog/142657098/detail.aspx?targetUrl=MI,Watches
