nm_id,name,brand,price,old_price,rating,feedbacks,url,image_url,category,description,reviews
478434213,/ Наушники беспроводные с микрофоном Pro 2,Pods2,1251,1251,"4,7",1 412 оценок,https://www.wildberries.ru/catalog/478434213/detail.aspx,https://alm-basket-cdn-05.geobasket.net/vol4784/part478434/478434213/images/c516x688/1.webp,Headphones,,
439806612,/ Наушники Buds Т200 Lite Чёрные,Realme,1805,1805,"4,9",169 оценок,https://www.wildberries.ru/catalog/439806612/detail.aspx,https://alm-basket-cdn-04.geobasket.net/vol4398/part439806/439806612/images/c516x688/1.webp,Headphones,,
613357904,/ Наушники беспроводные A.Pods 4 без шумоподавления,TOFURA,558,558,"4,9",342 оценки,https://www.wildberries.ru/catalog/613357904/detail.aspx,https://alm-basket-cdn-01.geobasket.net/vol6133/part613357/613357904/images/c516x688/1.webp,Headphones,,
582962183,/ Наушники беспроводные AIR P. PRO 2 для iPhone и Android,ETTA High Tech,1319,1319,"4,9",12 383 оценки,https://www.wildberries.ru/catalog/582962183/detail.aspx,https://alm-basket-cdn-05.geobasket.net/vol5829/part582962/582962183/images/c516x688/1.webp,Headphones,,
143211912,Наушники проводные с микрофоном вакуумные T110,Unknown,326,326,"4,5",7 673 оценки,https://www.wildberries.ru/catalog/143211912/detail.aspx,https://alm-basket-cdn-04.geobasket.net/vol1432/part143211/143211912/images/c516x688/1.webp,Headphones,,
173823377,Беспроводные наушники JBL Air-6,Unknown,752,752,"4,7",444 оценки,https://www.wildberries.ru/catalog/173823377/detail.aspx,https://alm-basket-cdn-04.geobasket.net/vol1738/part173823/173823377/images/c516x688/1.webp,Headphones,,
421551080,/ Наушники беспроводные для телефона с шумоподавлением,FaizFull,1021,1021,"4,9",6 601 оценка,https://www.wildberries.ru/catalog/421551080/detail.aspx,https://alm-basket-cdn-02.geobasket.net/vol4215/part421551/421551080/images/c516x688/1.webp,Headphones,,
177502400,/ Наушники беспроводные спортивные на шею с микрофоном,4Sound,609,609,"4,8",482 оценки,https://www.wildberries.ru/catalog/177502400/detail.aspx,https://alm-basket-cdn-02.geobasket.net/vol1775/part177502/177502400/images/c516x688/1.webp,Headphones,,
370854879,"/ Беспроводные наушники E-310B TWS, стерео",SVEN,1324,1324,"4,8",219 оценок,https://www.wildberries.ru/catalog/370854879/detail.aspx,https://alm-basket-cdn-01.geobasket.net/vol3708/part370854/370854879/images/c516x688/1.webp,Headphones,,
366644290,/ Наушники беспроводные с микрофоном FreeBuds SE 3,Huawei,2233,2233,"4,9",42 оценки,https://www.wildberries.ru/catalog/366644290/detail.aspx,https://alm-basket-cdn-02.geobasket.net/vol3666/part366644/366644290/images/c516x688/1.webp,Headphones,,
208488443,/ Наушники беспроводные Air 2 Black для iPhone и Android,ETTA High Tech,1170,1170,"4,9",12 383 оценки,https://www.wildberries.ru/catalog/208488443/detail.aspx,https://alm-basket-cdn-05.geobasket.net/vol2084/part208488/208488443/images/c516x688/1.webp,Headphones,,
613357903,/ Наушники беспроводные A.Pods Pro 2 с шумоподавлением,TOFURA,720,720,"4,8",268 оценок,https://www.wildberries.ru/catalog/613357903/detail.aspx,https://alm-basket-cdn-05.geobasket.net/vol6133/part613357/613357903/images/c516x688/1.webp,Headphones,,
557361676,/ Наушники FreeBuds 7i Чёрные,Huawei,7663,7663,"4,9",26 оценок,https://www.wildberries.ru/catalog/557361676/detail.aspx,https://alm-basket-cdn-03.geobasket.net/vol5573/part557361/557361676/images/c516x688/1.webp,Headphones,,
461217314,/ Беспроводные Bluetooth наушники AP-B710MV с микрофоном и ANC,SVEN,1923,1923,"4,9",307 оценок,https://www.wildberries.ru/catalog/461217314/detail.aspx,https://alm-basket-cdn-01.geobasket.net/vol4612/part461217/461217314/images/c516x688/1.webp,Headphones,,
370890069,/ Наушники беспроводные для iphone Air 3,SmartSale,917,917,"4,7",24 755 оценок,https://www.wildberries.ru/catalog/370890069/detail.aspx,https://alm-basket-cdn-01.geobasket.net/vol3708/part370890/370890069/images/c516x688/1.webp,Headphones,,
209928876,/ Наушники беспроводные APro 2 для iPhone Android,E-shop,1082,1082,"4,5",24 770 оценок,https://www.wildberries.ru/catalog/209928876/detail.aspx?targetUrl=MI,https://alm-basket-cdn-03.geobasket.net/vol2099/part209928/209928876/images/c516x688/1.webp,Headphones,,
181592486,/ Наушники беспроводные ИИ Bluetooth 5.3 игровые на шею,ЛАСКОВЫЙ ТИГРЁНОК,574,574,"4,6",1 044 оценки,https://www.wildberries.ru/catalog/181592486/detail.aspx?targetUrl=MI,https://alm-basket-cdn-03.geobasket.net/vol1815/part181592/181592486/images/c516x688/1.webp,Headphones,,
183550937,/ Беспроводные наушники EQ6,HOCO,1373,1373,"4,9",695 оценок,https://www.wildberries.ru/catalog/183550937/detail.aspx?targetUrl=MI,https://alm-basket-cdn-04.geobasket.net/vol1835/part183550/183550937/images/c516x688/1.webp,Headphones,,
168792950,/ Беспроводные наушники EQ2,HOCO,822,822,"4,8",1 926 оценок,https://www.wildberries.ru/catalog/168792950/detail.aspx?targetUrl=MI,https://alm-basket-cdn-02.geobasket.net/vol1687/part168792/168792950/images/c516x688/1.webp,Headphones,,
152457096,,AKAE,,,"4,9",,https://www.wildberries.ru/catalog/152457096/detail.aspx?targetUrl=MI,https://alm-basket-cdn-03.geobasket.net/vol1524/part152457/152457096/images/c516x688/1.webp,Headphones,,
