nm_id,name,brand,price,old_price,rating,feedbacks,url,image_url,category,description,reviews
468725143,/ Ноутбук игровой Cyborg 15 B2RWEKG-235XRU,MSI,103187,103187,5,22 оценки,https://www.wildberries.ru/catalog/468725143/detail.aspx,https://alm-basket-cdn-05.geobasket.net/vol4687/part468725/468725143/images/c516x688/1.webp,Laptops,,
492782104,/ Ноутбук игровой Thin 15 B13VE-3200XRU (9S7-16R831-3200),MSI,84620,84620,"4,9",20 оценок,https://www.wildberries.ru/catalog/492782104/detail.aspx,https://alm-basket-cdn-01.geobasket.net/vol4927/part492782/492782104/images/c516x688/1.webp,Laptops,,
419613214,"Ноутбук для работы и учебы 15 6"" 4-Ядра 16ГБ 1TB",Unknown,27173,27173,"4,7",77 оценок,https://www.wildberries.ru/catalog/419613214/detail.aspx,https://alm-basket-cdn-01.geobasket.net/vol4196/part419613/419613214/images/c516x688/1.webp,Laptops,,
335723415,"/ Ноутбук Vivobook 15 15.6"" i3-1215U 16 512 Win",ASUS,40805,40805,"4,9",24 оценки,https://www.wildberries.ru/catalog/335723415/detail.aspx,https://alm-basket-cdn-02.geobasket.net/vol3357/part335723/335723415/images/c516x688/1.webp,Laptops,,
538317372,/ WUJIE 14 ноутбук Ryzen 7 7840HS 16G+512G 2.8K,MECHREVO,35973,35973,"4,5",11 оценок,https://www.wildberries.ru/catalog/538317372/detail.aspx,https://alm-basket-cdn-04.geobasket.net/vol5383/part538317/538317372/images/c516x688/1.webp,Laptops,,
323185646,"/ Ноутбук игровой L15 Star 2K XL 15.6"", 32 ГБ SSD 1 ТБ RTX4060",Machenike,124459,124459,5,5 оценок,https://www.wildberries.ru/catalog/323185646/detail.aspx,https://alm-basket-cdn-03.geobasket.net/vol3231/part323185/323185646/images/c516x688/1.webp,Laptops,,
270762735,"/ Ноутбук для работы и учебы Taganay 15,6"" IPS 16 512 GB",Echips,22621,22621,"4,8",1 313 оценок,https://www.wildberries.ru/catalog/270762735/detail.aspx,https://alm-basket-cdn-02.geobasket.net/vol2707/part270762/270762735/images/c516x688/1.webp,Laptops,,
567276730,"/ Gaming A16 GA63H 16"" Ryzen 7 260 32 1024 RTX 5060 DOS",GigaByte,105341,105341,"4,7",12 оценок,https://www.wildberries.ru/catalog/567276730/detail.aspx,https://alm-basket-cdn-02.geobasket.net/vol5672/part567276/567276730/images/c516x688/1.webp,Laptops,,
278357559,"/ Ноутбук для работы и учебы 15,6"" 4-ядра IPS 16Gb SSD 512 Gb",SkyX,28387,28387,"4,8",1 230 оценок,https://www.wildberries.ru/catalog/278357559/detail.aspx,https://alm-basket-cdn-01.geobasket.net/vol2783/part278357/278357559/images/c516x688/1.webp,Laptops,,
468726623,/ Ноутбук игровой Cyborg 15 B2RWEKG-236XRU,MSI,98413,98413,5,1 оценка,https://www.wildberries.ru/catalog/468726623/detail.aspx,https://alm-basket-cdn-05.geobasket.net/vol4687/part468726/468726623/images/c516x688/1.webp,Laptops,,
377420413,"/ Ноутбук Fortis M 15.6"" IPS Core i3 8 256ГБ Windows 11",Digma Pro,29377,29377,5,1 оценка,https://www.wildberries.ru/catalog/377420413/detail.aspx,https://alm-basket-cdn-05.geobasket.net/vol3774/part377420/377420413/images/c516x688/1.webp,Laptops,,
412016966,"Ноутбук 15 6"" FHD Intel N5095 RAM 16GB SSD 512GB",Unknown,22975,22975,"4,8",67 оценок,https://www.wildberries.ru/catalog/412016966/detail.aspx,https://alm-basket-cdn-03.geobasket.net/vol4120/part412016/412016966/images/c516x688/1.webp,Laptops,,
473177615,"Ноутбук для работы и учебы 15 6"" IPS RAM 16 GB SSD 512 GB",Unknown,24213,24213,"4,9",298 оценок,https://www.wildberries.ru/catalog/473177615/detail.aspx,https://alm-basket-cdn-02.geobasket.net/vol4731/part473177/473177615/images/c516x688/1.webp,Laptops,,
370380697,/ MacBook Air 13 M2 16 256 (Starlight),Apple,61518,61518,5,15 оценок,https://www.wildberries.ru/catalog/370380697/detail.aspx,https://alm-basket-cdn-04.geobasket.net/vol3703/part370380/370380697/images/c516x688/1.webp,Laptops,,
377421107,"/ Ноутбук для работы и учебы Aspire 3 17.3"" IPS N100 8ГБ 512ГБ",Acer,26425,26425,"4,8",71 оценка,https://www.wildberries.ru/catalog/377421107/detail.aspx,https://alm-basket-cdn-04.geobasket.net/vol3774/part377421/377421107/images/c516x688/1.webp,Laptops,,
154015512,/ Сумка для ноутбука до 15.6 на плечо,ПРОМИКС,1180,1180,"4,8",1 621 оценка,https://www.wildberries.ru/catalog/154015512/detail.aspx?targetUrl=MI,https://alm-basket-cdn-04.geobasket.net/vol1540/part154015/154015512/images/c516x688/1.webp,Laptops,,
92406921,/ сумка для ноутбука 15 15.6 16 16.1 дюймов,MAHOO,1732,1732,"4,9",567 оценок,https://www.wildberries.ru/catalog/92406921/detail.aspx?targetUrl=MI,https://alm-basket-cdn-03.geobasket.net/vol924/part92406/92406921/images/c516x688/1.webp,Laptops,,
173479306,"/ Сумка для ноутбука и документов 15,6"" 15.6 14 15",DEFENDER,1317,1317,"4,9",4 387 оценок,https://www.wildberries.ru/catalog/173479306/detail.aspx?targetUrl=MI,https://alm-basket-cdn-03.geobasket.net/vol1734/part173479/173479306/images/c516x688/1.webp,Laptops,,
169344704,/ Сумка для ноутбука 15.6 - 16 дюймов противоударная,Tuesday team,2149,2149,"4,8",1 252 оценки,https://www.wildberries.ru/catalog/169344704/detail.aspx?targetUrl=MI,https://alm-basket-cdn-01.geobasket.net/vol1693/part169344/169344704/images/c516x688/1.webp,Laptops,,
158345459,,RUSVELT,,,"4,9",,https://www.wildberries.ru/catalog/158345459/detail.aspx?targetUrl=MI,https://alm-basket-cdn-01.geobasket.net/vol1583/part158345/158345459/images/c516x688/1.webp,Laptops,,
