nm_id,name,brand,price,old_price,rating,feedbacks,url,image_url,category,description,reviews
497175563,/ Кроссовки мужские зимние M2K TEKNO,Nike,1952,1952,"4,5",132 оценки,https://www.wildberries.ru/catalog/497175563/detail.aspx,https://alm-basket-cdn-05.geobasket.net/vol4971/part497175/497175563/images/c516x688/1.webp,Sneakers,,
495737834,/ Кроссовки зимние,Nike,2190,2190,"4,8",267 оценок,https://www.wildberries.ru/catalog/495737834/detail.aspx,https://alm-basket-cdn-01.geobasket.net/vol4957/part495737/495737834/images/c516x688/1.webp,Sneakers,,
152540730,/ Кроссовки спортивные на платформе,JOYCITY,818,818,"4,8",108 210 оценок,https://www.wildberries.ru/catalog/152540730/detail.aspx,https://alm-basket-cdn-02.geobasket.net/vol1525/part152540/152540730/images/c516x688/1.webp,Sneakers,,
550087232,/ Кроссовки демисезонные белые спортивные на платформе,GIMME-U,775,775,"4,9",31 оценка,https://www.wildberries.ru/catalog/550087232/detail.aspx,https://alm-basket-cdn-04.geobasket.net/vol5500/part550087/550087232/images/c516x688/1.webp,Sneakers,,
461247562,/ Детские Кроссовки,Boys and Girls,1163,1163,"4,8",3 918 оценок,https://www.wildberries.ru/catalog/461247562/detail.aspx,https://alm-basket-cdn-04.geobasket.net/vol4612/part461247/461247562/images/c516x688/1.webp,Sneakers,,
226121017,/ Кожаные кроссовки натуральные кеды УНИСЕКС,X-Plode,2248,2248,"4,6",1 140 оценок,https://www.wildberries.ru/catalog/226121017/detail.aspx,https://alm-basket-cdn-04.geobasket.net/vol2261/part226121/226121017/images/c516x688/1.webp,Sneakers,,
398965664,/ Демисезонные кроссовки повседневные,X-Plode,1246,1246,"4,8",162 оценки,https://www.wildberries.ru/catalog/398965664/detail.aspx,https://alm-basket-cdn-01.geobasket.net/vol3989/part398965/398965664/images/c516x688/1.webp,Sneakers,,
314938351,/ Кроссовки демисезонные белые спортивные на платформе,GIMME-U,1107,1107,"4,7",2 221 оценка,https://www.wildberries.ru/catalog/314938351/detail.aspx,https://alm-basket-cdn-03.geobasket.net/vol3149/part314938/314938351/images/c516x688/1.webp,Sneakers,,
207991637,/ Кроссовки Asics GEL-NYC,Trendy Feet,2858,2858,"4,6",259 оценок,https://www.wildberries.ru/catalog/207991637/detail.aspx,https://alm-basket-cdn-04.geobasket.net/vol2079/part207991/207991637/images/c516x688/1.webp,Sneakers,,
524366788,/ Кроссовки женские зимние forum low,adidas,2192,2192,"4,7",171 оценка,https://www.wildberries.ru/catalog/524366788/detail.aspx,https://alm-basket-cdn-05.geobasket.net/vol5243/part524366/524366788/images/c516x688/1.webp,Sneakers,,
431544557,/ Зимние Кроссовки для мальчиков,GILABUNNY,1012,1012,5,157 оценок,https://www.wildberries.ru/catalog/431544557/detail.aspx,https://alm-basket-cdn-04.geobasket.net/vol4315/part431544/431544557/images/c516x688/1.webp,Sneakers,,
310230227,/ Кроссовки белые на платформе,Monkey Shoes,1442,1442,"4,8",1 736 оценок,https://www.wildberries.ru/catalog/310230227/detail.aspx,https://alm-basket-cdn-04.geobasket.net/vol3102/part310230/310230227/images/c516x688/1.webp,Sneakers,,
304664779,/ Кроссовки АСИКС Gel-Kahana 8 летние дышащие,ASICS,2645,2645,"4,6",369 оценок,https://www.wildberries.ru/catalog/304664779/detail.aspx,https://alm-basket-cdn-01.geobasket.net/vol3046/part304664/304664779/images/c516x688/1.webp,Sneakers,,
520671849,/ Кроссовки зимние мужские asics,Nike,2632,2632,"4,7",152 оценки,https://www.wildberries.ru/catalog/520671849/detail.aspx,https://alm-basket-cdn-01.geobasket.net/vol5206/part520671/520671849/images/c516x688/1.webp,Sneakers,,
409616847,/ Кроссовки Air Force 1 Форсы,Nike,2097,2097,"4,8",362 оценки,https://www.wildberries.ru/catalog/409616847/detail.aspx,https://alm-basket-cdn-04.geobasket.net/vol4096/part409616/409616847/images/c516x688/1.webp,Sneakers,,
164435584,/ Кеды кроссовки демисезонные на платформе,Crosby,870,870,"4,7",2 819 оценок,https://www.wildberries.ru/catalog/164435584/detail.aspx?targetUrl=MI,https://alm-basket-cdn-01.geobasket.net/vol1644/part164435/164435584/images/c516x688/1.webp,Sneakers,,
171043375,/ Кроссовки демисезонные,Discount777,1410,1410,"4,5",469 оценок,https://www.wildberries.ru/catalog/171043375/detail.aspx?targetUrl=MI,https://alm-basket-cdn-02.geobasket.net/vol1710/part171043/171043375/images/c516x688/1.webp,Sneakers,,
157891155,/ Кроссовки Adidas Drop Step осенние спортивные,EXCLUSIVE,4248,4248,"4,4",255 оценок,https://www.wildberries.ru/catalog/157891155/detail.aspx?targetUrl=MI,https://alm-basket-cdn-02.geobasket.net/vol1578/part157891/157891155/images/c516x688/1.webp,Sneakers,,
122101481,/ Кроссовки спортивные демисезонные M2K TEKNO,Nike,1465,1465,"4,5",740 оценок,https://www.wildberries.ru/catalog/122101481/detail.aspx?targetUrl=MI,https://alm-basket-cdn-03.geobasket.net/vol1221/part122101/122101481/images/c516x688/1.webp,Sneakers,,
155257237,,New Balance,,,"4,5",,https://www.wildberries.ru/catalog/155257237/detail.aspx?targetUrl=MI,https://alm-basket-cdn-04.geobasket.net/vol1552/part155257/155257237/images/c516x688/1.webp,Sneakers,,
